,Spec,Date,Release,Version
139,102222,12/16/2004,06,07.00_60
140,102222,5/4/2005,06,08.00_60
141,102222,10/11/2005,06,09.00_60
142,102222,1/23/2006,06,10.00_60
143,102222,5/2/2006,06,11.00_60
144,102222,8/7/2006,07,00.00_60
145,102222,2/1/2007,07,01.00_60
146,102222,7/24/2018,08,00.00_60
147,102222,7/24/2018,09,00.00_60
148,102222,7/24/2018,10,00.00_60
149,102222,7/24/2018,11,00.00_60
150,102222,6/27/2018,12,00.00_60
151,102222,7/24/2018,13,00.00_60
152,102222,7/24/2018,14,00.00_60
153,102222,6/27/2018,15,00.00_60
154,102223,7/31/2001,04,00.00_60
155,102223,10/26/2001,04,01.00_60
156,102223,3/8/2002,04,02.00_60
157,102223,7/23/2002,04,03.00_60
158,102223,2/25/2003,04,04.00_60
159,102223,6/6/2003,04,05.00_60
160,102223,9/26/2003,04,06.00_60
161,102223,1/12/2004,04,07.00_60
162,102223,3/12/2004,04,08.00_60
163,102223,6/23/2004,04,09.00_60
164,102223,9/30/2004,04,10.00_60
165,102223,12/9/2004,04,11.00_60
166,102223,5/4/2005,04,12.00_60
167,102223,10/11/2005,04,13.00_60
168,102223,7/23/2002,05,00.00_60
169,102223,2/25/2003,05,01.00_60
170,102223,6/6/2003,05,02.00_60
171,102223,9/26/2003,05,03.00_60
172,102223,1/12/2004,05,04.00_60
173,102223,3/12/2004,05,05.00_60
174,102223,6/23/2004,05,06.00_60
175,102223,9/30/2004,05,07.00_60
176,102223,12/9/2004,05,08.00_60
177,102223,5/4/2005,05,09.00_60
178,102223,10/11/2005,05,10.00_60
179,102223,1/24/2006,05,11.00_60
180,102223,2/25/2003,06,00.00_60
181,102223,6/6/2003,06,01.00_60
182,102223,9/26/2003,06,02.00_60
183,102223,1/12/2004,06,03.00_60
184,102223,3/12/2004,06,04.00_60
185,102223,6/23/2004,06,05.00_60
186,102223,9/30/2004,06,06.00_60
187,102223,12/9/2004,06,07.00_60
188,102223,5/4/2005,06,08.00_60
189,102223,10/11/2005,06,09.00_60
190,102223,1/24/2006,06,10.00_60
191,102223,5/4/2006,06,11.00_60
192,102223,8/3/2006,06,12.00_60
193,102223,10/1/2007,06,13.00_60
194,102223,4/23/2010,06,14.00_60
195,102223,2/25/2005,07,00.00_60
196,102223,10/11/2005,07,01.00_60
197,102223,1/24/2006,07,02.00_60
198,102223,8/3/2006,07,04.00_60
199,102223,10/26/2006,07,05.00_60
200,102223,2/8/2007,07,06.00_60
201,102223,7/11/2007,07,07.00_60
202,102223,8/17/2007,07,08.01_60
203,102223,10/1/2007,07,09.00_60
204,102223,2/12/2008,07,10.00_60
205,102223,7/2/2008,07,11.00_60
206,102223,10/28/2008,07,12.00_60
207,102223,1/15/2009,07,12.01_60
208,102223,4/23/2009,07,13.00_60
209,102223,4/23/2010,07,14.00_60
210,102223,9/15/2010,07,15.00_60
211,102223,1/7/2011,07,16.00_60
212,102223,3/1/2012,07,17.00_60
213,102223,7/2/2008,08,00.00_60
214,102223,10/28/2008,08,01.00_60
215,102223,1/15/2009,08,02.00_60
216,102223,4/23/2009,08,03.00_60
217,102223,10/22/2009,08,04.00_60
218,102223,4/14/2010,08,05.00_60
219,102223,10/27/2010,08,06.00_60
220,102223,1/7/2011,08,07.00_60
221,102223,3/1/2012,08,08.00_60
222,102223,10/22/2009,09,00.00_60
223,102223,4/14/2010,09,01.00_60
224,102223,10/27/2010,09,02.00_60
225,102223,1/7/2011,09,03.00_60
226,102223,3/1/2012,09,04.00_60
227,102223,10/27/2010,10,00.00_60
228,102223,1/7/2011,10,01.00_60
229,102223,3/16/2011,10,02.00_60
230,102223,5/12/2011,10,03.00_60
231,102223,6/30/2011,10,04.00_60
232,102223,9/21/2011,10,05.00_60
233,102223,3/1/2012,10,06.00_60
234,102223,3/1/2012,11,00.00_60
235,102223,12/12/2012,11,01.00_60
236,102223,7/12/2013,11,02.00_60
237,102223,6/19/2014,11,03.00_60
238,102223,5/19/2014,12,00.00_60
239,102223,9/9/2014,12,01.00_60
240,102223,3/6/2015,12,02.00_60
241,102223,3/10/2015,13,00.00_60
242,102223,9/8/2016,13,01.00_60
243,102223,5/22/2017,13,02.00_60
244,102223,6/13/2019,13,03.00_60
245,102223,7/25/2019,13,04.00_60
246,102223,5/22/2017,14,00.00_60
247,102223,7/2/2018,14,01.00_60
248,102223,7/25/2018,14,01.01_60
249,102223,6/13/2019,14,02.00_60
250,102223,7/25/2019,14,03.00_60
251,102223,7/2/2018,15,00.00_60
252,102223,7/25/2018,15,00.01_60
253,102223,2/15/2019,15,01.00_60
254,102223,6/13/2019,15,02.00_60
255,102223,7/25/2019,15,03.00_60
256,102224,4/19/2002,06,00.00_60
257,102224,12/16/2004,06,01.00_60
258,102224,1/23/2006,07,00.00_60
259,102224,10/6/2006,07,01.00_60
260,102224,10/24/2008,08,00.00_60
261,102224,9/19/2018,09,00.00_60
262,102224,9/19/2018,10,00.00_60
263,102224,9/19/2018,11,00.00_60
264,102224,9/19/2018,12,00.00_60
265,102224,9/19/2018,13,00.00_60
266,102224,9/19/2018,14,00.00_60
267,102225,4/19/2002,06,00.00_60
268,102225,2/10/2003,06,01.00_60
269,102225,6/6/2003,06,02.00_60
270,102225,1/12/2004,06,03.00_60
271,102225,3/12/2004,06,04.00_60
272,102225,9/30/2004,06,05.00_60
273,102225,12/9/2004,06,06.00_60
274,102225,4/28/2006,06,07.00_60
275,102225,10/4/2006,06,08.00_60
276,102225,5/4/2005,07,00.00_60
277,102225,10/6/2005,07,01.00_60
278,102225,1/23/2006,07,02.00_60
279,102225,4/28/2006,07,03.00_60
280,102225,4/14/2010,07,04.00_60
281,102225,2/5/2008,08,00.00_60
282,102225,1/15/2009,08,01.00_60
283,102225,4/24/2009,08,02.00_60
284,102225,4/14/2010,08,03.00_60
285,102225,9/28/2011,08,04.00_60
286,102225,3/6/2012,08,05.00_60
287,102225,4/14/2010,09,00.00_60
288,102225,9/28/2011,09,01.00_60
289,102225,3/6/2012,09,02.00_60
290,102225,3/6/2012,10,00.00_60
291,102225,3/6/2012,11,00.00_60
292,102225,6/19/2014,12,00.00_60
293,102225,10/29/2014,12,01.00_60
294,102225,7/16/2018,13,00.00_60
295,102226,4/19/2002,06,00.00_60
296,102226,7/17/2002,06,01.00_60
297,102226,10/16/2002,06,02.00_60
298,102226,2/10/2003,06,03.00_60
299,102226,6/6/2003,06,04.00_60
300,102226,9/26/2003,06,05.00_60
301,102226,1/12/2004,06,06.00_60
302,102226,3/10/2004,06,07.00_60
303,102226,6/23/2004,06,08.00_60
304,102226,9/30/2004,06,09.00_60
305,102226,12/13/2004,06,10.00_60
306,102226,5/4/2005,06,11.00_60
307,102226,9/20/2005,06,12.00_60
308,102226,5/2/2006,06,13.00_60
309,102226,7/27/2006,06,14.00_60
310,102226,10/20/2006,06,15.00_60
311,102226,7/18/2007,06,16.00_60
312,102226,10/1/2007,06,17.00_60
313,102226,9/11/2008,06,17.01_60
314,102226,4/28/2009,06,18.00_60
315,102226,5/2/2006,07,00.00_60
316,102226,7/27/2006,07,01.00_60
317,102226,10/20/2006,07,02.00_60
318,102226,2/2/2007,07,03.00_60
319,102226,7/11/2007,07,04.00_60
320,102226,10/1/2007,07,05.00_60
321,102226,9/11/2008,07,05.01_60
322,102226,1/15/2009,07,06.00_60
323,102226,4/28/2009,07,07.00_60
324,102226,6/25/2009,07,08.00_60
325,102226,4/23/2010,07,08.01_60
326,102226,1/15/2009,08,00.00_60
327,102226,4/28/2009,08,01.00_60
328,102226,6/25/2009,08,02.00_60
329,102226,4/23/2010,08,02.01_60
330,102226,3/2/2012,08,03.00_60
331,102226,6/25/2009,09,00.00_60
332,102226,10/2/2009,09,01.00_60
333,102226,4/23/2010,09,02.00_60
334,102226,9/28/2011,09,03.00_60
335,102226,3/2/2012,09,04.00_60
336,102226,8/16/2012,09,05.00_60
337,102226,1/18/2013,09,06.00_60
338,102226,3/2/2012,10,00.00_60
339,102226,8/16/2012,10,01.00_60
340,102226,1/18/2013,10,02.00_60
341,102226,3/2/2012,11,00.00_60
342,102226,8/16/2012,11,01.00_60
343,102226,1/18/2013,11,02.00_60
344,102226,2/19/2015,12,00.00_60
345,102226,5/3/2016,13,00.00_60
346,102226,7/3/2018,13,01.00_60
347,102227,5/19/2004,04,01.01_60
348,102228,11/25/2003,04,01.01_60
349,102229,8/21/2003,04,01.01_60
350,102230,7/27/2001,03,01.00_60
351,102230,2/10/2003,03,02.00_60
352,102230,6/23/2004,03,03.00_60
353,102230,9/30/2004,03,04.00_60
354,102230,12/10/2004,03,05.00_60
355,102230,7/6/2005,03,06.00_60
356,102230,10/6/2005,03,07.00_60
357,102230,5/2/2006,03,08.00_60
358,102230,2/6/2007,03,09.00_60
359,102230,10/28/2008,03,10.00_60
360,102230,1/15/2009,03,11.00_60
361,102230,4/14/2010,03,12.00_60
362,102230,7/31/2001,04,00.00_60
363,102230,4/19/2002,04,01.00_60
364,102230,2/10/2003,04,02.00_60
365,102230,6/23/2004,04,03.00_60
366,102230,9/30/2004,04,04.00_60
367,102230,12/10/2004,04,05.00_60
368,102230,7/6/2005,04,06.00_60
369,102230,10/6/2005,04,07.00_60
370,102230,5/2/2006,04,08.00_60
371,102230,2/6/2007,04,09.00_60
372,102230,10/28/2008,04,10.00_60
373,102230,1/15/2009,04,11.00_60
374,102230,4/14/2010,04,12.00_60
375,102230,9/26/2003,05,00.00_60
376,102230,6/23/2004,05,01.00_60
377,102230,9/30/2004,05,02.00_60
378,102230,12/10/2004,05,03.00_60
379,102230,7/6/2005,05,04.00_60
380,102230,10/6/2005,05,05.00_60
381,102230,5/2/2006,05,06.00_60
382,102230,2/6/2007,05,07.00_60
383,102230,10/28/2008,05,08.00_60
384,102230,1/15/2009,05,09.00_60
385,102230,4/14/2010,05,10.00_60
386,102230,4/14/2010,06,00.00_60
387,102230,7/30/2009,07,00.00_60
388,102230,4/14/2010,07,01.00_60
389,102230,4/14/2010,07,02.00_60
390,102230,4/14/2010,08,00.00_60
391,102230,4/18/2013,09,00.00_60
392,102230,7/16/2013,10,00.00_60
393,102230,4/7/2014,10,01.00_60
394,102230,4/8/2014,10,01.01_60
395,102230,3/26/2015,10,02.00_60
396,10223001,6/8/2016,11,00.00_60
397,10223001,5/9/2019,11,01.00_60
398,10223001,5/9/2019,12,00.00_60
399,10223001,5/9/2019,13,00.00_60
400,10223001,5/9/2019,13,01.00_60
401,10223001,5/9/2019,13,02.00_60
402,10223001,5/9/2019,14,00.00_60
403,10223001,5/9/2019,14,01.00_60
404,10223002,10/29/2015,09,00.00_60
405,10223002,6/29/2016,09,01.00_60
406,10223002,6/28/2019,09,02.00_60
407,10223002,6/28/2019,10,00.00_60
408,10223002,6/28/2019,11,00.00_60
409,10223002,6/28/2019,12,00.00_60
410,10223002,6/28/2019,13,00.00_60
411,102231,10/6/2003,01,01.01_60
412,102231,3/10/2006,02,01.01_60
413,102231,10/14/2009,03,01.01_60
414,102231,12/18/2009,03,01.02_60
415,102232,2/6/2004,01,01.01_60
416,102232,9/9/2004,01,02.01_60
417,102232,10/29/2004,01,03.01_60
418,102232,5/18/2006,01,04.01_60
419,102232,10/31/2006,01,05.01_60
420,10223201,12/20/2006,02,01.01_60
421,10223201,7/31/2007,02,02.01_60
422,10223201,7/18/2008,02,03.01_60
423,10223201,7/28/2008,02,04.01_60
424,10223201,8/27/2010,02,05.01_60
425,10223201,5/19/2011,02,06.01_60
426,10223201,8/17/2011,02,07.01_60
427,10223201,10/26/2011,02,08.01_60
428,10223201,6/28/2012,03,01.01_60
429,10223201,2/7/2017,03,02.01_60
430,10223201,2/8/2013,03,03.01_60
431,10223201,9/13/2013,03,04.02_60
432,10223201,10/22/2013,03,05.01_60
433,10223201,2/21/2014,03,06.01_60
434,10223201,7/25/2014,03,07.01_60
435,10223201,10/28/2014,03,08.01_60
436,10223201,8/6/2015,03,09.01_60
437,10223201,11/20/2015,03,10.01_60
438,10223201,3/18/2016,03,11.01_60
439,10223201,8/4/2016,03,12.01_60
440,10223201,3/22/2017,03,13.01_60
441,10223201,8/2/2017,03,14.01_60
442,10223201,11/23/2017,03,15.01_60
443,10223201,3/16/2018,03,16.01_60
444,10223201,9/11/2018,03,17.01_60
445,10223201,10/25/2018,03,18.01_60
446,10223201,5/22/2019,03,19.01_60
447,10223201,8/20/2019,03,20.01_60
448,10223201,12/10/2019,03,21.01_60
449,10223202,12/20/2006,02,01.01_60
450,10223202,5/28/2007,02,02.01_60
451,10223202,11/27/2007,02,03.01_60
452,10223202,10/2/2009,02,04.01_60
453,10223202,8/10/2010,02,05.01_60
454,10223202,8/17/2011,02,06.01_60
455,10223202,2/28/2012,03,01.01_60
456,10223202,6/28/2012,03,02.01_60
457,10223202,11/19/2012,03,03.01_60
458,10223202,2/8/2013,03,04.01_60
459,10223202,7/18/2013,03,05.01_60
460,10223202,10/22/2013,03,06.01_60
461,10223202,2/21/2014,03,07.01_60
462,10223202,10/28/2014,03,08.01_60
463,10223202,3/15/2016,03,09.01_60
464,10223202,8/16/2016,03,10.01_60
465,10223202,11/23/2017,03,11.01_60
466,10223203,12/20/2006,02,01.01_60
467,10223203,1/9/2009,02,02.01_60
468,10223203,8/17/2011,02,03.01_60
469,10223203,2/28/2012,03,01.01_60
470,10223203,6/28/2012,03,02.01_60
471,10223203,10/22/2013,03,03.01_60
472,10223203,9/27/2016,03,04.01_60
473,10223203,3/24/2017,03,05.01_60
474,10223203,8/2/2017,03,06.01_60
475,10223203,11/23/2017,03,07.01_60
476,10223204,12/20/2006,02,01.01_60
477,10223204,4/7/2010,02,02.01_60
478,10223204,8/27/2010,02,03.01_60
479,10223204,2/28/2012,03,01.01_60
480,10223204,3/3/2014,03,02.01_60
481,10223204,7/23/2014,03,02.02_60
482,10223204,3/22/2017,03,03.01_60
483,10223204,8/2/2017,03,04.01_60
484,10223205,2/16/2007,02,01.01_60
485,10223205,11/27/2007,02,02.01_60
486,10223205,12/20/2007,02,02.02_60
487,10223205,4/22/2008,02,03.01_60
488,10223205,10/2/2009,02,03.02_60
489,10223205,4/7/2010,02,04.01_60
490,10223205,10/21/2010,02,05.01_60
491,10223205,2/28/2012,03,01.01_60
492,10223205,6/28/2012,03,02.01_60
493,10223205,7/25/2014,03,03.01_60
494,10223205,10/28/2014,03,04.01_60
495,10223205,10/22/2015,03,05.01_60
496,10223205,8/10/2016,03,06.01_60
497,10223205,3/21/2017,03,07.01_60
498,10223205,11/23/2017,03,08.01_60
499,10223205,9/11/2018,03,09.01_60
500,10223205,4/4/2019,03,10.01_60
501,10223205,8/2/2019,03,11.01_60
502,10223206,12/20/2006,02,01.01_60
503,10223206,5/22/2007,02,02.01_60
504,10223206,8/29/2008,02,03.01_60
505,10223206,6/28/2012,03,01.01_60
506,10223206,7/18/2013,03,02.01_60
507,10223206,3/10/2014,03,03.01_60
508,10223207,3/17/2008,02,01.01_60
509,10223207,3/31/2011,02,02.01_60
510,10223207,6/28/2012,03,01.01_60
511,10223207,7/18/2013,03,02.01_60
512,10223207,3/15/2016,03,03.01_60
513,10223207,3/22/2017,03,04.01_60
514,10223207,4/3/2018,03,05.01_60
515,10223207,4/2/2019,03,06.01_60
516,10223207,12/10/2019,03,07.01_60
517,102233,2/6/2004,01,01.01_60
518,102233,5/3/2004,01,02.01_60
519,102233,9/26/2006,01,03.01_60
520,102234,2/6/2004,01,01.01_60
521,102234,10/28/2004,01,02.01_60
522,102234,8/26/2005,01,03.01_60
523,102234,1/3/2006,01,04.01_60
524,102234,7/17/2006,01,06.01_60
525,10223701,12/18/2003,04,01.01_60
526,10223702,12/18/2003,04,01.01_60
527,102240,7/17/2002,06,00.00_60
528,102240,12/1/2004,06,01.00_60
529,102240,7/11/2005,06,02.00_60
530,102240,1/19/2006,07,00.00_60
531,102240,10/24/2008,08,00.00_60
532,102240,6/2/2009,09,00.00_60
533,102240,12/14/2011,09,01.00_60
534,102240,7/20/2011,10,00.00_60
535,102240,12/14/2011,10,01.00_60
536,102240,7/20/2011,11,00.00_60
537,102240,12/14/2011,11,01.00_60
538,102241,4/6/2005,06,00.01_60
539,102241,4/6/2005,06,01.01_60
540,102241,4/6/2005,06,02.01_60
541,102241,4/6/2005,06,03.01_60
542,102241,4/6/2005,06,04.01_60
543,102241,4/6/2005,06,05.01_60
544,102241,12/10/2004,06,06.00_60
545,102241,4/6/2005,06,07.00_60
546,102241,10/20/2005,06,08.00_60
547,102241,1/23/2006,06,09.00_60
548,102241,5/4/2006,06,10.00_60
549,102241,7/24/2006,06,11.00_60
550,102241,2/1/2007,06,12.00_60
551,102241,12/10/2004,07,00.00_60
552,102241,4/6/2005,07,01.00_60
553,102241,10/20/2005,07,02.00_60
554,102241,1/23/2006,07,03.00_60
555,102241,5/4/2006,07,04.00_60
556,102241,9/29/2006,07,05.01_60
557,102241,10/6/2006,07,06.00_60
558,102241,2/1/2007,07,07.00_60
559,102241,6/11/2008,07,09.00_60
560,102241,6/14/2010,07,10.00_60
561,102241,6/11/2008,08,00.00_60
562,102241,6/14/2010,08,01.00_60
563,102241,5/12/2011,08,02.00_60
564,102241,1/7/2011,09,00.00_60
565,102241,5/12/2011,09,01.00_60
566,102241,3/6/2012,09,02.00_60
567,102241,12/12/2012,11,00.00_60
568,102241,11/3/2015,11,01.00_60
569,102241,11/3/2015,12,00.00_60
570,102241,3/13/2019,12,01.00_60
571,102241,11/3/2015,13,00.00_60
572,102241,12/6/2018,13,01.00_60
573,102241,1/25/2019,13,01.01_60
574,102241,3/13/2019,13,02.00_60
575,102241,1/18/2019,14,00.00_60
576,102241,3/13/2019,14,01.00_60
577,102241,11/15/2019,14,02.00_60
578,102241,1/18/2019,15,00.00_60
579,102241,6/24/2019,15,01.00_60
580,102241,11/15/2019,15,02.00_60
581,102241,2/3/2020,15,03.00_60
582,102241,11/15/2019,16,00.00_60
583,102241,2/3/2020,16,01.00_60
584,10225001,10/17/2003,01,01.01_60
585,10225001,3/21/2007,01,02.01_60
586,10225001,4/29/2011,02,02.01_60
587,10225001,11/12/2019,02,03.01_60
588,10225002,10/17/2003,01,01.01_60
589,10225002,6/1/2004,01,02.01_60
590,10225002,7/11/2005,01,03.01_60
591,10225002,3/27/2006,01,04.01_60
592,10225002,10/31/2007,01,05.01_60
593,10225002,6/6/2008,01,06.01_60
594,10225002,9/24/2008,01,06.02_60
595,10225002,10/5/2009,01,07.01_60
596,10225002,4/29/2011,02,02.01_60
597,10225002,8/26/2014,02,03.01_60
598,10225002,5/13/2015,02,04.01_60
599,10225002,6/14/2016,02,05.01_60
600,10225002,10/5/2017,02,06.01_60
601,10225002,11/12/2019,02,07.01_60
602,10225003,4/15/2005,01,03.01_60
603,10225003,9/1/2005,01,03.02_60
604,10225003,12/17/2008,01,04.01_60
605,10225003,8/16/2010,01,05.01_60
606,10225003,4/29/2011,02,02.01_60
607,10225003,6/19/2013,02,03.01_60
608,10225003,8/4/2015,02,03.02_60
609,10225003,11/12/2019,02,04.01_60
610,10225004,10/17/2003,01,01.01_60
611,10225004,7/31/2007,01,02.01_60
612,10225004,3/25/2009,01,03.01_60
613,10225004,4/29/2011,02,02.01_60
614,10225004,11/12/2019,02,03.01_60
615,10225005,9/8/2004,01,01.01_60
616,10225005,5/19/2005,01,02.01_60
617,10225005,11/17/2005,01,03.01_60
618,10225005,8/3/2007,01,04.01_60
619,10225005,5/28/2008,01,05.01_60
620,10225005,6/16/2009,01,06.01_60
621,10225005,4/29/2011,02,02.01_60
622,10225005,11/18/2011,02,03.01_60
623,10225005,6/19/2013,02,04.01_60
624,10225005,9/3/2015,02,04.02_60
625,10225005,11/12/2019,02,05.01_60
626,10225006,5/11/2004,01,01.01_60
627,10225006,10/13/2004,01,02.01_60
628,10225006,11/12/2019,01,03.01_60
629,10225007,10/14/2009,01,01.01_60
630,10225007,11/12/2019,01,02.01_60
631,1022500801,12/21/2018,01,01.01_60
632,102253,8/26/2003,01,01.01_60
633,102254,8/26/2003,01,01.01_60
634,102255,8/26/2003,01,01.01_60
635,102256,8/26/2003,01,01.01_60
636,102257,8/26/2003,01,01.01_60
637,102261,9/29/2003,01,01.01_60
638,102265,10/16/2003,01,01.01_60
639,102265,10/4/2004,01,02.01_60
640,102266,6/29/2005,07,00.00_60
641,102266,1/23/2006,07,01.00_60
642,102267,8/14/2007,07,00.00_60
643,102267,4/23/2010,07,01.00_60
644,102267,12/12/2012,11,00.00_60
645,102267,2/20/2019,11,01.00_60
646,102267,2/20/2019,12,00.00_60
647,102267,2/20/2019,13,00.00_60
648,102267,2/20/2019,14,00.00_60
649,102267,2/20/2019,15,00.00_60
650,102268,6/21/2007,06,00.00_60
651,102268,6/12/2013,06,01.00_60
652,102268,4/1/2015,06,02.00_60
653,102268,4/10/2015,07,00.00_60
654,102280,3/29/2004,01,01.01_60
655,102281,7/6/2010,02,01.00_60
656,102281,12/22/2011,02,02.00_60
657,102281,10/31/2012,02,02.01_60
658,102281,7/18/2013,02,03.00_60
659,102281,1/16/2015,02,04.00_60
660,102281,2/23/2016,03,00.00_60
661,102281,4/12/2019,03,01.01_60
662,102283,11/25/2003,01,01.01_60
663,102284,11/21/2003,01,01.01_60
664,102285,11/25/2003,01,01.01_60
665,102286,11/25/2003,01,01.01_60
666,102289,11/25/2003,01,01.01_60
667,102292,2/11/2004,01,01.01_60
668,102292,7/31/2015,01,02.01_60
669,102293,2/11/2004,01,01.01_60
670,102294,2/11/2004,01,01.01_60
671,102295,2/11/2004,01,01.01_60
